,station,interchange
135,Kensington,London Overground to National Rail: 5 minutes
136,Kentish Town,First Capital Connect to Northern: 6 minutes
137,Kenton,Connections between Bakerloo line and London Overground services: 5 minutes
138,Kew Gardens,Connections between District line and London Overground services: 5 minutes
139,Kings Cross St Pancras,Circle to Hammersmith & City: 2 minutes
140,Kings Cross St Pancras,Circle to Metropolitan: 2 minutes
141,Kings Cross St Pancras,Circle to Northern: 7.5 minutes
142,Kings Cross St Pancras,Circle to Piccadilly: 5 minutes
143,Kings Cross St Pancras,Circle to Victoria: 5 minutes
144,Kings Cross St Pancras,Circle to National Rail: 12 minutes
145,Kings Cross St Pancras,Hammersmith & City to Metropolitan: 2 minutes
146,Kings Cross St Pancras,Hammersmith & City to Northern: 7.5 minutes
147,Kings Cross St Pancras,Hammersmith & City to Piccadilly: 5 minutes
148,Kings Cross St Pancras,Hammersmith & City to Victoria: 5 minutes
149,Kings Cross St Pancras,Hammersmith & City to National Rail: 12 minutes
150,Kings Cross St Pancras,Metropolitan to Northern: 7.5 minutes
151,Kings Cross St Pancras,Metropolitan to Piccadilly: 5 minutes
152,Kings Cross St Pancras,Metropolitan to Victoria: 5 minutes
153,Kings Cross St Pancras,Metropolitan to National Rail: 12 minutes
154,Kings Cross St Pancras,Northern to Piccadilly: 2.5 minutes
155,Kings Cross St Pancras,Northern to Victoria: 4.5 minutes
156,Kings Cross St Pancras,Northern to National Rail: 9.5 minutes
157,Kings Cross St Pancras,Piccadilly to Victoria: 2 minutes
158,Kings Cross St Pancras,Piccadilly to National Rail: 10 minutes
159,Kings Cross St Pancras,Victoria to National Rail: 12 minutes
160,Ladbroke Grove,Connections between Circle and Hammersmith & City: 4 minutes
161,Latimer Road,Connections between Circle and Hammersmith & City: 4 minutes
162,Leicester Square,Northern to Piccadilly: 4 minutes
163,Lewisham,DLR to Southeastern: 7 minutes
164,Leytonstone,Connections between different branches: 4 minutes
165,Limehouse,C2C to DLR: 5 minutes
166,Liverpool Street,Central to Circle: 6 minutes
167,Liverpool Street,Central to Hammersmith & City: 6 minutes
168,Liverpool Street,Central to Metropolitan: 6 minutes
169,Liverpool Street,Central to National Rail: 6 minutes
170,Liverpool Street,Circle to Hammersmith & City: 4 minutes
171,Liverpool Street,Circle to Metropolitan: 4 minutes
172,Liverpool Street,Circle to National Rail: 8 minutes
173,Liverpool Street,Hammersmith & City to Metropolitan: 4 minutes
174,Liverpool Street,Hammersmith & City to National Rail: 8 minutes
175,Liverpool Street,Metropolitan to National Rail: 8 minutes
176,London Bridge,Jubilee to Northern: 6 minutes
177,London Bridge,Jubilee to National Rail: 7 minutes
178,London Bridge,Northern to National Rail: 10 minutes
179,Mansion House,Circle to District: 4 minutes
180,Marylebone,Bakerloo to Chiltern Railways: 9 minutes
181,Mile End,Central to District: 3 minutes
182,Mile End,Central to Hammersmith & City: 3 minutes
183,Mile End,District to Hammersmith & City: 3 minutes
184,Monument,Central to Circle: 7 minutes
185,Monument,Central to District: 7 minutes
186,Monument,Central to DLR: 3 minutes
187,Monument,Central to Northern: 4 minutes
188,Monument,Central to Waterloo & City: 4.5 minutes
189,Monument,Circle to District: 4 minutes
190,Monument,Circle to DLR: 4 minutes
191,Monument,Circle to Northern: 4 minutes
192,Monument,Circle to Waterloo & City: 10 minutes
193,Monument,District to DLR: 4 minutes
194,Monument,District to Northern: 4 minutes
195,Monument,District to Waterloo & City: 10 minutes
196,Monument,DLR to Northern: 3 minutes
197,Monument,DLR to Waterloo & City: 6 minutes
198,Monument,Northern to Waterloo & City: 7 minutes
199,Moorgate,Circle to Hammersmith & City: 4 minutes
200,Moorgate,Circle to Metropolitan: 4 minutes
201,Moorgate,Circle to Northern: 7 minutes
202,Moorgate,Circle to First Capital Connect: 6 minutes
203,Moorgate,Hammersmith & City to Metropolitan: 4 minutes
204,Moorgate,Hammersmith & City to Northern: 7 minutes
205,Moorgate,Hammersmith & City to First Capital Connect: 6 minutes
206,Moorgate,Metropolitan to Northern: 7 minutes
207,Moorgate,Metropolitan to First Capital Connect: 6 minutes
208,Moorgate,Northern to First Capital Connect: 2 minutes
209,Moor Park,Connections between different branches: 3minutes
210,New Cross,London Overground to Southeastern: 4 minutes
211,New Cross Gate,London Overground to Southern: 4 minutes
212,North Wembley,Connections between Bakerloo line and London Overground services: 5 minutes
213,Norwood Junction,London Overground to Southern: 2 minutes
214,Notting Hill Gate,Central to Circle: 4 minutes
215,Notting Hill Gate,Central to District: 4 minutes
216,Notting Hill Gate,Circle to District: 4 minutes
217,Old Street,First Capital Connect to Northern: 3 minutes
218,Oxford Circus,Bakerloo to Central: 4 minutes
219,Oxford Circus,Bakerloo to Victoria: 4 minutes
220,Oxford Circus,Central to Victoria: 4 minutes
221,Paddington,Bakerloo to Circle: 7 minutes
222,Paddington,Bakerloo to District: 7 minutes
223,Paddington,Bakerloo to Hammersmith & City: 15 minutes
224,Paddington,Bakerloo to National Rail: 8 minutes
225,Paddington,Circle to District: 4 minutes
226,Paddington,Circle to Hammersmith & City: 13 minutes
227,Paddington,Circle to National Rail: 6 minutes
228,Paddington,District to Hammersmith & City: 13 minutes
229,Paddington,District to National Rail: 6 minutes
230,Paddington,Hammersmith & City to National Rail: 5 minutes
231,Penge West,Connections between London Overground and Southern: 4 minutes
232,Piccadilly Circus,Bakerloo to Piccadilly: 3 minutes
233,Plaistow,Connections between District and Hammersmith & City: 4 minutes
234,Poplar,Connections between different DLR branches: 2 minutes
235,Queens Park,Bakerloo to London Overground: 4.5 minutes
236,Rayners Lane,Metropolitan to Piccadilly: 4 minutes
237,Richmond,District to London Overground: 4 minutes
238,Rickmansworth,Chiltern Railways to Metropolitan: 3 minutes
239,Royal Oak,Connections between Circle and Hammersmith & City line: 2 minutes
240,Ruislip,Connections between Metropolitan and Piccadilly line: 3 minutes
241,Ruislip Manor,Connections between Metropolitan and Piccadilly line: 4 minutes
242,St James Park,Connections between Circle and District lines: 4 minutes
243,Seven Sisters,National Express East Anglia to Victoria: 7 minutes
244,Shadwell,DLR to London Overground: 5 minutes
245,Shepherds Bush,Central to London Overground: 8 minutes
246,Shepherds Bush,Connections between Circle and Hammersmith & City lines: 4 minutes
247,Sloane Square,Connections between Circle and District lines: 5 minutes
248,South Kensington,Circle to District: 2 minutes
249,South Kensington,Circle to Piccadilly:4 minutes
250,South Kensington,District to Piccadilly: 4 minutes
251,South Kenton,Bakerloo to London Overground: 2 minutes
252,South Ruislip,Central to Chiltern Railways: 5 minutes
253,Stepney Green,Connections between District and Hammersmith & City line: 4 minutes
254,Stockwell,Connections between Northern Line and Victoria line trains: 3 minutes
255,Stonebridge Park,Connections between Bakerloo and London Overground: 4 minutes
256,Stratford,Central to DLR Stratford Int: 4 minutes
257,Stratford,Central to DLR Canary Wharf: 3 minutes
258,Stratford,Central to London Overground: 5 minutes
259,Stratford,Central to National Express East Anglia: 5 minutes
260,Stratford,DLR Stratford Int to DLR Canary Wharf: 4.5 minutes
261,Stratford,DLR Stratford Int to London Overground: 6 minutes
262,Stratford,DLR Stratford Int to National Express East Anglia: 6 minutes
263,Stratford,DLR Canary Wharf to London Overground: 6 minutes
264,Stratford,DLR Canary Wharf to National Express East Anglia: 6 minutes
265,Stratford,London Overground to National Express East Anglia: 7 minutes
266,Stratford International,DLR to Southeastern: 6 minutes
267,Sydenham,Connections between London Overground and Southern: 4 minutes
268,Temple,Connections between Circle and District: 4 minutes
269,Tottenham Court Road,Central to Northern: 4 minutes
270,Tottenham Hale,National Express East Anglia to Victoria: 5 minutes
271,Tower Hill,"Connections between Circle and District, and with terminating District: 2 minutes."
272,Turnham Green,District (between branches): 4 minutes
273,Turnham Green,District to Piccadilly: 4 minutes
274,Upminster,C2C to District: 4.5 minutes
275,Upminster,C2C to National Express East Anglia: 5 minutes
276,Upminster,District to National Express East Anglia: 4.5 minutes
277,Upton Park,District to Hammersmith & City: 4 minutes
278,Uxbridge,Metropolitan to Piccadilly: 1 minute
279,Vauxhall,South West Trains to Victoria: 9 minutes
280,Victoria,Circle to District: 2 minutes
281,Victoria,Circle to Southern: 10 minutes
282,Victoria,Circle to Southeastern: 10 minutes
283,Victoria,Circle to Victoria: 4 minutes
284,Victoria,District to Southern: 10 minutes
285,Victoria,District to Southeastern: 10 minutes
286,Victoria,District to Victoria: 4 minutes
287,Victoria,Southern to Southeastern: 10 minutes
288,Victoria,Southern to Victoria: 10 minutes
289,Victoria,Southeastern to Victoria: 10 minutes
290,Walthamstow Central,National Express East Anglia to Victoria: 4 minutes
291,Warren Street,Northern to Victoria: 6 minutes
292,Waterloo,Bakerloo to Jubilee: 6 minutes
293,Waterloo,Bakerloo to Northern: 4 minutes
294,Waterloo,Bakerloo to South West Trains: 10 minutes
295,Waterloo,Jubilee to Northern: 6 minutes
296,Waterloo,Jubilee to South West Trains: 11 minutes
297,Waterloo,Northern to South West Trains: 10 minutes
298,Watford Junction,London Overground to London Midland: 5 minutes
299,Watford Junction,London Overground to Southern: 5 minutes
300,Watford Junction,London Overground to Virgin Trains: 5 minutes
301,Watford Junction,London Midland to Southern: 5 minutes
302,Watford Junction,London Midland to Virgin Trains: 5 minutes
303,Watford Junction,Southern to Virgin Trains: 5 minutes
304,Wembley Central,Bakerloo to London Overground: 5 minutes
305,Wembley Central,Bakerloo to Southern: 5 minutes
306,Wembley Central,London Overground to Southern: 5 minutes
307,Wembley Park,Jubilee to Metropolitan: 4 minutes
308,Westbourne Park,Connections between Circle and Hammersmith & City lines: 4 minutes
309,West Brompton,District to London Overground: 5 minutes
310,West Brompton,District to Southern: 5 minutes
311,West Brompton,London Overground to Southern: 5 minutes
312,West Croydon,London Overground to Southern: 4 minutes
313,Westferry,Interchange between different DLR branches: 4 minutes
314,West Ham,C2C to District: 4.5 minutes
315,West Ham,C2C to DLR: 5.5 minutes
316,West Ham,C2C to Hammersmith & City: 4.5 minutes
317,West Ham,C2C to Jubilee: 5.5 minutes
318,West Ham,District to DLR: 5 minutes
319,West Ham,District to Hammersmith & City: 5 minutes
320,West Ham,District to Jubilee: 5 minutes
321,West Ham,DLR to Hammersmith & City: 5 minutes
322,West Ham,DLR to Jubilee: 3 minutes
323,West Ham,Hammersmith & City to Jubilee
324,West Hampstead,Jubilee to London Overground: 3.5 minutes
325,West India Quay,Interchange between different DLR branches
326,Westminster,Circle to District: 4 minutes
327,Westminster,Circle to Jubilee: 6 minutes
328,Westminster,District to Jubilee: 6 minutes
329,West Ruislip,Central to Chiltern Railways: 5 minutes
330,Whitechapel,Hammersmith & City  to District: 2 minutes
331,Whitechapel,Hammersmith & City  to London Overground: 5 minutes
332,Whitechapel,District to London Overground: 5 minutes
333,Willesden Green, 
334,Willesden Junction,Bakerloo to London Overground (Watford): 4 minutes
335,Willesden Junction,Bakerloo to London Overground (North/West London Lines): 5 minutes
336,Willesden Junction,London Overground (Watford) to London Overground (North/West London Lines): 5 minutes
337,Willesden Junction,London Overground (between North and West London Lines): 3 minutes
338,Wimbledon,District to South West Trains: 5 minutes
339,Wimbledon,District to Tramlink: 4 minutes
340,Wimbledon,South West Trains to Tramlink: 5 minutes
341,Woodford,Connections between different branches: 3 minutes
342,Woolwich Arsenal,DLR to Southeastern: 4 minutes
